"municipio","region","nordeste","poblacion","poblacion_c","umbral","concejo_grande","n_concejales","pib_pc","prop_pobres","bancas_2000","mortalidad_infantil","mortalidad_postneonatal","matricula_primaria","ideb","burocratas","proyectos_servicios"
"M0001","Sudeste",0,66032,18413,47619,1,10,15.5,0.353,9,16.9,4.9,30,4.5,571,46
"M0002","Sul",0,37648,-9971,47619,0,9,8.6,0.329,9,18.5,8.2,21.2,4.3,505,40
"M0003","Sudeste",0,57420,9801,47619,1,10,11.6,0.251,9,20,7.2,25.7,4.5,631,54
"M0004","Sudeste",0,58400,10781,47619,1,10,8.1,0.198,10,19.4,5.8,29.3,5.2,561,53
"M0005","Nordeste",1,45136,-2483,47619,0,9,11,0.379,9,18.6,7.1,26.2,5.2,515,31
"M0006","Centro-Oeste",0,58578,10959,47619,1,10,8.8,0.353,9,15.8,3.5,30.9,3.8,642,50
"M0007","Sudeste",0,42864,-4755,47619,0,9,13.6,0.41,9,18.5,7.2,17.1,3.9,512,32
"M0008","Nordeste",1,36677,-10942,47619,0,9,13.4,0.405,9,18.5,4.4,25.9,4.5,401,36
"M0009","Sudeste",0,68212,20593,47619,1,10,11.1,0.353,9,16.7,6.8,24.2,4.1,617,58
"M0010","Centro-Oeste",0,26548,-21071,47619,0,9,8.4,0.367,10,29.4,6.7,19.8,4.3,403,32
"M0011","Nordeste",1,69604,21985,47619,1,10,11.2,0.271,9,17.6,5.4,26.2,5.4,627,65
"M0012","Sudeste",0,72421,24802,47619,1,10,12.6,0.254,9,15.9,3.6,31.5,4.9,636,48
"M0013","Nordeste",1,58695,11076,47619,1,10,15.6,0.268,9,13.7,5.1,28.2,4.9,618,47
"M0014","Sul",0,48368,749,47619,1,10,14.3,0.376,9,23.4,5.2,24.1,4.7,577,47
"M0015","Nordeste",1,44720,-2899,47619,0,9,11.2,0.413,9,17.2,8,27.4,5.1,524,50
"M0016","Nordeste",1,66323,18704,47619,1,10,13.2,0.285,10,13.8,6.7,25.7,3.8,592,54
"M0017","Centro-Oeste",0,26067,-21552,47619,0,9,9.4,0.401,10,16.8,6.1,31.5,4.2,443,36
"M0018","Sudeste",0,67477,19858,47619,1,10,13.7,0.351,10,19.7,4.7,24.4,4.8,595,49
"M0019","Nordeste",1,27209,-20410,47619,0,9,9.4,0.318,10,26.3,8.6,22.4,4.3,470,46
"M0020","Centro-Oeste",0,36248,-11371,47619,0,9,11.1,0.359,9,21.1,6.9,23.7,4.8,510,41
"M0021","Centro-Oeste",0,22600,-25019,47619,0,9,9.8,0.346,9,15.4,9.1,21.4,3.8,466,37
"M0022","Nordeste",1,26160,-21459,47619,0,9,13.6,0.349,10,21.4,8.6,20.1,3.6,472,40
"M0023","Centro-Oeste",0,57424,9805,47619,1,10,10,0.268,9,17,7.3,30.7,3.4,579,47
"M0024","Centro-Oeste",0,66750,19131,47619,1,10,14.8,0.33,9,14.4,5.2,27.8,4.8,665,43
"M0025","Nordeste",1,63854,16235,47619,1,10,13.8,0.257,10,16,7.6,23.4,4.5,497,38
"M0026","Norte",0,36077,-11542,47619,0,9,9.8,0.352,10,20.1,6.1,18.5,4.1,448,48
"M0027","Sudeste",0,53839,6220,47619,1,10,11.6,0.365,9,14.8,5.9,31.3,3.5,543,46
"M0028","Centro-Oeste",0,64857,17238,47619,1,10,15.3,0.28,9,15.4,4.3,26,4.6,653,50
"M0029","Nordeste",1,20029,-27590,47619,0,9,9.8,0.389,9,20.5,6.5,24,3.4,412,40
"M0030","Sudeste",0,21162,-26457,47619,0,9,11.5,0.379,9,20.9,8.4,23.4,4.3,440,46
"M0031","Nordeste",1,44262,-3357,47619,0,9,11.9,0.338,9,19.6,5.6,26.1,4,512,34
"M0032","Sudeste",0,35966,-11653,47619,0,9,8.1,0.486,9,25.9,7.8,24.9,3.7,425,45
"M0033","Sul",0,29691,-17928,47619,0,9,10.2,0.327,9,20.9,5.7,19.3,4.3,532,25
"M0034","Nordeste",1,73536,25917,47619,1,10,18.2,0.311,9,18.9,6,26.7,4.7,664,57
"M0035","Nordeste",1,57134,9515,47619,1,10,10.7,0.36,9,20.2,4.9,26.5,4.6,514,48
"M0036","Sudeste",0,57453,9834,47619,1,10,15.8,0.262,10,16.6,5.8,28.9,4.9,696,44
"M0037","Nordeste",1,22977,-24642,47619,0,9,11.7,0.424,9,26.5,7.9,20.6,4.4,513,26
"M0038","Nordeste",1,73137,25518,47619,1,10,15.4,0.295,9,20.4,8.5,26.3,4.6,671,56
"M0039","Sudeste",0,21218,-26401,47619,0,9,10.4,0.383,9,22,6.3,24.9,4.7,521,39
"M0040","Sul",0,55605,7986,47619,1,10,14.6,0.417,9,16.2,7.2,21.3,4.7,603,45
"M0041","Sudeste",0,68007,20388,47619,1,10,14.5,0.294,9,19.1,8.3,31.6,5,615,62
"M0042","Sudeste",0,70075,22456,47619,1,10,15.3,0.319,9,15.4,6.1,29.9,4.8,591,58
"M0043","Sudeste",0,54314,6695,47619,1,10,10.4,0.277,9,15.2,5.5,25.8,4.9,527,50
"M0044","Nordeste",1,41557,-6062,47619,0,9,9.8,0.323,9,18.8,6.9,19.2,4.5,468,22
"M0045","Nordeste",1,66830,19211,47619,1,10,15.2,0.275,9,16.1,8.2,19.9,5.3,628,44
"M0046","Norte",0,44650,-2969,47619,0,9,9.5,0.34,10,19.7,8.7,22.9,4.1,540,50
"M0047","Sudeste",0,42862,-4757,47619,0,9,11.2,0.371,9,21.5,9,24.5,4.2,552,37
"M0048","Sudeste",0,35358,-12261,47619,0,9,15.1,0.355,9,21.1,6.4,21.2,4.2,567,46
"M0049","Sudeste",0,55989,8370,47619,1,10,11.6,0.352,9,21.8,7.7,26.4,4,545,45
"M0050","Centro-Oeste",0,55777,8158,47619,1,10,13,0.372,9,17,4.3,24.4,5,561,45
"M0051","Sudeste",0,23373,-24246,47619,0,9,15.2,0.4,9,21.2,6.1,28.9,4.7,571,33
"M0052","Nordeste",1,60760,13141,47619,1,10,17.4,0.237,9,21.3,5.6,30.6,5.3,619,64
"M0053","Nordeste",1,44913,-2706,47619,0,9,10.1,0.342,9,21.6,6.4,26,4.4,488,27
"M0054","Sudeste",0,46922,-697,47619,0,9,11.5,0.318,9,19.4,8.6,23.8,3.8,438,30
"M0055","Norte",0,61428,13809,47619,1,10,15.1,0.29,9,18.3,5.1,24.7,4.1,652,36
"M0056","Nordeste",1,59372,11753,47619,1,10,14.2,0.199,9,16,5.9,25.7,5,585,47
"M0057","Norte",0,21095,-26524,47619,0,9,8.4,0.352,9,19.2,7.2,24.6,3.3,446,42
"M0058","Nordeste",1,30556,-17063,47619,0,9,10.2,0.354,9,24.9,8,28.7,4.7,436,27
"M0059","Sudeste",0,45104,-2515,47619,0,9,12.4,0.355,10,22.2,4,28.8,5.3,346,27
"M0060","Nordeste",1,35301,-12318,47619,0,9,10.3,0.395,9,18.1,8.2,25,4.7,419,55
"M0061","Nordeste",1,24123,-23496,47619,0,9,11.5,0.421,10,20.1,7.6,22,3.8,398,34
"M0062","Centro-Oeste",0,43463,-4156,47619,0,9,13,0.356,9,16.5,5.7,19.2,4.6,453,43
"M0063","Nordeste",1,40486,-7133,47619,0,9,12.6,0.357,9,21.1,7.2,28.9,4.7,444,33
"M0064","Sudeste",0,55168,7549,47619,1,10,14.9,0.332,9,14.7,6.6,28,5.5,538,50
"M0065","Centro-Oeste",0,36867,-10752,47619,0,9,8.4,0.317,9,12.7,6.1,28.7,4.4,445,26
"M0066","Nordeste",1,64815,17196,47619,1,10,13.4,0.285,9,18.4,8.1,28.8,5,575,62
"M0067","Nordeste",1,68716,21097,47619,1,10,12.8,0.329,9,16.1,4.4,33,5.2,591,52
"M0068","Sudeste",0,59536,11917,47619,1,10,12.2,0.305,9,16.8,6.5,29.4,4.7,583,54
"M0069","Nordeste",1,36989,-10630,47619,0,9,8.5,0.302,9,17.9,5,29.9,4.8,436,37
"M0070","Sudeste",0,35798,-11821,47619,0,9,9.7,0.385,10,20.2,8.7,23.5,3.4,493,41
"M0071","Nordeste",1,55837,8218,47619,1,10,10.7,0.186,9,18.7,6.4,27.4,3.6,603,57
"M0072","Sudeste",0,30914,-16705,47619,0,9,9.1,0.394,9,24.2,7.9,18.8,5,459,40
"M0073","Norte",0,54764,7145,47619,1,10,10.1,0.332,10,16.8,5.7,27,5.1,549,52
"M0074","Sudeste",0,44420,-3199,47619,0,9,15.6,0.323,9,19.6,7.2,16,4.1,514,41
"M0075","Nordeste",1,37178,-10441,47619,0,9,14.6,0.376,9,25.6,7.2,19.8,3.7,384,44
"M0076","Norte",0,58968,11349,47619,1,10,12.6,0.347,9,16.7,3.5,31.4,4.3,597,43
"M0077","Sul",0,35624,-11995,47619,0,9,10.6,0.306,10,20.2,5.7,21.4,4.5,388,49
"M0078","Sudeste",0,21974,-25645,47619,0,9,11.8,0.369,9,26.7,9.1,24.4,4.4,484,36
"M0079","Sudeste",0,56619,9000,47619,1,10,13.3,0.309,9,15.2,6.1,30.7,4.2,647,43
"M0080","Nordeste",1,32121,-15498,47619,0,9,10.1,0.449,10,18,8.9,25,4.6,555,31
"M0081","Nordeste",1,30531,-17088,47619,0,9,8.5,0.388,9,16.6,7.5,24.7,5.1,508,34
"M0082","Nordeste",1,33495,-14124,47619,0,9,7.4,0.308,9,21.9,6,17.7,3.8,526,39
"M0083","Sul",0,47397,-222,47619,0,9,11.7,0.376,9,21.7,5.1,21,4.4,400,35
