"id_agente","tratamiento","edad","mujer","experiencia","zona","visitas_previas","visitas","indice_larvario"
1,1,24,0,3,"urbana",27,51,5.4
2,0,38,0,6,"rural",39,36,11
3,0,30,1,8,"urbana",34,42,11.6
4,1,32,1,5,"urbana",30,32,9.2
5,0,32,1,8,"urbana",28,48,7.8
6,1,26,1,3,"rural",38,47,13
7,1,46,1,6,"urbana",40,30,8.3
8,0,48,1,3,"urbana",35,31,11.4
9,0,42,1,8,"urbana",38,42,8.5
10,0,39,1,10,"urbana",28,43,12.8
11,1,49,0,9,"urbana",22,33,5.9
12,0,33,1,4,"rural",31,35,11.4
13,0,32,1,9,"urbana",33,37,16.9
14,0,28,0,8,"rural",49,40,17.2
15,1,23,0,8,"rural",32,43,19.2
16,0,38,1,10,"urbana",38,32,14.2
17,0,34,1,8,"rural",34,52,9.9
18,1,46,1,6,"rural",34,44,10.8
19,0,30,0,8,"rural",42,36,10.6
20,0,31,0,4,"urbana",30,37,5.3
21,0,32,1,5,"urbana",35,31,12.9
22,1,46,1,8,"urbana",26,30,8.1
23,1,40,1,4,"urbana",30,40,5.1
24,1,27,1,4,"urbana",28,40,12.1
25,1,37,1,10,"urbana",39,60,3.5
26,1,24,1,11,"rural",34,33,5
27,1,42,1,13,"rural",26,44,11.9
28,1,28,1,4,"urbana",32,42,1.4
29,1,32,1,8,"urbana",25,55,7.6
30,0,40,1,9,"urbana",31,30,11.2
31,0,37,1,2,"urbana",36,47,19.8
32,0,42,1,6,"rural",32,31,13.4
33,1,38,1,3,"urbana",33,33,19.2
34,1,26,1,4,"urbana",49,55,5.4
35,0,25,1,7,"urbana",34,13,9.5
36,1,35,1,4,"urbana",23,46,3
37,1,39,0,9,"rural",28,38,11.1
38,1,28,1,5,"rural",38,51,16.3
39,0,33,1,9,"urbana",33,31,12.8
40,0,37,1,5,"rural",38,39,11
41,0,28,1,9,"urbana",37,27,9.4
42,1,37,1,7,"urbana",30,38,7
43,1,39,0,11,"urbana",45,61,14.8
44,1,40,1,7,"rural",37,53,3.9
45,0,30,1,4,"urbana",27,19,1.2
46,1,47,0,9,"rural",46,45,8.8
47,1,53,1,8,"urbana",26,39,6.4
48,0,38,0,4,"urbana",38,33,20
49,0,39,1,9,"urbana",40,41,11.8
50,0,36,1,4,"rural",26,26,10.3
51,1,24,0,7,"urbana",44,59,4.8
52,0,39,1,7,"urbana",31,21,16.9
53,1,50,1,9,"rural",29,44,9.1
54,1,35,1,12,"urbana",31,35,5.1
55,0,23,0,6,"urbana",28,28,8.1
56,1,47,1,8,"urbana",35,30,4.1
57,0,39,1,5,"rural",29,42,13.9
58,0,38,1,4,"rural",33,39,9.6
59,0,53,0,6,"urbana",33,27,14.2
60,1,43,0,9,"rural",52,43,5.6
61,1,35,1,6,"rural",32,36,11.1
62,1,39,1,1,"rural",37,46,11.4
63,0,25,0,6,"rural",33,37,7.8
64,1,35,0,4,"urbana",38,42,6.3
65,0,29,0,10,"rural",34,29,13.7
66,0,31,1,3,"rural",40,31,20.2
67,1,39,1,9,"urbana",34,38,5.1
68,1,39,0,5,"rural",24,38,7.5
69,1,35,0,10,"urbana",37,37,5.2
70,1,29,1,9,"urbana",34,49,6.5
71,1,31,1,6,"urbana",36,47,11.5
72,0,50,1,5,"rural",38,40,13.9
73,0,29,0,4,"urbana",34,29,14.8
74,0,48,1,8,"rural",40,49,14
75,0,33,0,5,"rural",42,26,2.9
76,1,39,0,7,"rural",42,34,4.4
77,0,22,1,4,"urbana",40,19,9
78,1,44,1,9,"rural",39,33,9.3
79,1,40,1,8,"rural",39,35,8.4
80,0,44,1,6,"rural",31,24,12.9
81,1,45,1,4,"urbana",34,37,8.9
82,0,42,0,11,"urbana",38,33,8.7
83,1,36,1,9,"urbana",34,34,10.9
84,1,28,0,6,"rural",42,44,1
85,1,48,0,10,"urbana",40,51,14.1
86,1,36,1,8,"urbana",26,39,10.7
87,0,19,1,9,"urbana",32,34,9.7
88,0,33,0,4,"rural",28,41,14.6
89,1,29,1,6,"rural",37,43,11.1
90,1,42,0,6,"urbana",26,33,9.9
91,0,44,1,9,"rural",27,40,11.3
92,0,35,1,7,"rural",32,37,4.8
93,0,32,1,7,"urbana",44,43,9.2
94,0,42,0,8,"rural",29,15,15.3
95,1,32,1,8,"rural",39,41,18.6
96,0,35,1,5,"urbana",23,28,20.3
97,1,30,1,6,"urbana",36,35,6.6
98,1,45,1,8,"urbana",36,27,14.3
99,1,30,1,5,"rural",29,39,11
100,1,49,1,7,"urbana",39,29,9.3
101,1,38,0,6,"rural",46,27,6.6
102,1,45,1,10,"rural",25,37,6.1
103,0,37,0,9,"urbana",32,36,14
104,1,47,1,6,"rural",39,36,4
105,0,41,1,7,"urbana",36,26,12.1
106,0,42,1,8,"urbana",44,23,10.7
107,0,34,1,6,"rural",38,26,10.8
108,0,43,0,6,"rural",32,33,11.7
109,1,45,1,4,"urbana",40,66,3.6
110,1,45,1,12,"urbana",33,49,10.6
111,1,39,1,6,"rural",34,42,12
112,1,44,0,8,"urbana",37,51,8
113,1,47,1,3,"rural",36,53,19.2
114,1,34,1,9,"urbana",30,21,13.2
115,1,26,1,6,"urbana",36,40,9.6
116,0,40,0,3,"urbana",25,24,9.4
117,0,47,1,4,"urbana",33,30,5.6
118,0,39,1,9,"rural",43,33,0
119,0,43,1,2,"urbana",33,29,13
120,0,24,0,3,"urbana",31,30,15.1
121,0,39,1,6,"rural",33,35,17.6
122,1,31,1,8,"rural",37,50,10.6
123,0,36,1,5,"rural",31,30,7.9
124,0,28,1,5,"urbana",30,21,18.6
125,0,36,0,5,"rural",38,34,16
126,1,41,1,8,"urbana",30,31,0.6
127,0,30,1,5,"urbana",47,43,7.6
128,0,18,1,8,"rural",37,47,15.5
129,0,43,0,3,"rural",39,40,14.5
130,0,30,1,8,"rural",28,30,22
131,1,36,1,7,"urbana",47,63,16.1
132,0,53,0,9,"rural",41,34,12.6
133,0,50,1,6,"rural",32,38,7.1
134,0,33,1,3,"rural",34,14,16.3
135,1,29,1,5,"rural",35,28,9
136,1,24,0,6,"urbana",35,40,8.3
137,1,37,1,11,"urbana",37,45,12.6
138,0,43,1,8,"rural",28,25,21.4
139,0,40,1,10,"urbana",35,26,17.5
140,0,27,1,10,"rural",18,22,10.7
141,1,50,1,9,"rural",40,28,6
142,0,43,1,8,"rural",31,28,9.5
143,1,43,0,8,"urbana",46,38,10.3
144,1,38,0,9,"rural",34,51,9.4
145,0,26,1,8,"rural",32,34,9
146,1,41,0,7,"urbana",47,53,6
147,1,41,1,5,"urbana",32,20,5.2
148,1,30,1,5,"urbana",25,43,5.1
149,1,36,0,2,"rural",38,29,13.5
150,0,45,1,8,"urbana",24,29,10.5
151,1,40,1,9,"rural",35,34,0
152,1,48,1,7,"urbana",47,30,6.7
153,0,44,1,8,"rural",56,36,9.4
154,0,33,1,9,"rural",41,20,14
155,0,31,1,10,"rural",39,39,17
156,1,41,1,4,"rural",30,27,8
157,0,45,1,8,"urbana",33,47,11.1
158,1,45,1,3,"rural",38,58,13.3
159,0,38,0,7,"urbana",44,38,10.2
160,0,33,0,8,"rural",42,30,17.5
161,0,51,1,4,"rural",34,42,5
162,1,43,0,10,"urbana",36,27,9.4
163,0,37,1,13,"rural",43,30,9.9
164,0,54,1,6,"urbana",30,23,5.9
165,0,51,0,13,"urbana",36,32,16
166,0,37,0,4,"urbana",24,36,13.4
167,0,37,1,5,"urbana",52,35,4.8
168,1,51,0,11,"urbana",29,37,12.8
169,1,36,1,5,"urbana",30,29,12.5
170,1,29,0,10,"urbana",38,53,9.4
171,0,45,1,11,"urbana",27,44,20.5
172,1,29,1,8,"urbana",38,46,12.3
173,0,38,1,8,"urbana",36,30,10.9
174,0,33,1,9,"urbana",31,19,17.3
175,0,36,1,7,"rural",33,39,19.5
176,0,35,1,2,"urbana",36,31,5
177,0,32,0,7,"rural",32,28,16
178,0,35,1,10,"urbana",44,32,3.6
179,1,50,0,8,"rural",22,27,4.2
180,1,36,0,5,"urbana",48,49,13.4
181,1,41,1,3,"urbana",32,43,5.8
182,0,34,1,10,"urbana",25,24,10.4
183,0,46,0,7,"rural",28,39,9.7
184,0,39,1,6,"urbana",40,24,7.4
185,1,39,1,11,"rural",34,44,7.8
186,0,35,0,7,"rural",34,28,13.8
187,1,56,0,5,"urbana",32,46,4.3
188,1,44,0,10,"rural",39,43,5.4
189,1,43,0,7,"urbana",37,40,11.6
190,0,41,0,4,"rural",31,25,19.2
191,1,40,0,7,"rural",37,52,10.1
192,1,36,1,10,"urbana",35,38,8.9
193,0,44,1,5,"rural",30,27,8.8
194,1,37,1,7,"urbana",43,36,14.8
195,0,50,1,7,"urbana",32,46,9.1
196,0,39,1,9,"urbana",33,24,10.2
197,0,32,1,10,"urbana",29,26,13.4
198,0,48,1,3,"urbana",38,32,16.8
199,1,28,1,9,"rural",41,27,11.4
200,0,39,1,6,"urbana",40,38,13.3
201,1,28,1,8,"rural",36,45,5.2
202,1,40,1,10,"urbana",29,24,2.6
203,1,39,0,9,"rural",27,39,15.2
204,0,34,0,6,"urbana",30,41,14
205,1,48,0,9,"urbana",16,40,6.4
206,1,50,1,12,"rural",41,35,17
