"municipio","poblacion","poblacion_c","concejo_grande","n_concejales","pib_pc","prop_pobres","bancas_2000","mortalidad_infantil","mortalidad_postneonatal","matricula_primaria","ideb","burocratas","proyectos_servicios"
"M0001",23084,-24535,0,9,14.2,0.321,9,21.9,9.1,23.4,4.2,407,26
"M0002",34922,-12697,0,9,11.8,0.42,9,19.9,6.9,28.3,4.2,475,38
"M0003",36461,-11158,0,9,9,0.384,9,20.2,7.4,20.6,4.5,562,32
"M0004",40690,-6929,0,9,15.5,0.476,9,15.2,8.7,22,4.7,513,42
"M0005",70424,22805,1,10,15.4,0.366,9,10.5,6.6,26.6,5.1,598,53
"M0006",67146,19527,1,10,14.6,0.28,10,17.4,6.8,24,5.1,629,55
"M0007",74155,26536,1,10,16.3,0.293,9,18.9,5.7,33.6,4.5,643,48
"M0008",74324,26705,1,10,14.2,0.295,9,16.9,5.7,30.1,4.1,603,45
"M0009",33453,-14166,0,9,11.7,0.359,9,15.1,8,25.8,4.9,472,43
"M0010",71452,23833,1,10,10.8,0.354,9,13.9,4.1,21.8,4.7,621,47
"M0011",54103,6484,1,10,12.5,0.357,9,16.2,6,23,4.1,658,53
"M0012",60948,13329,1,10,14.7,0.373,9,15.5,6.5,27.3,3.6,663,48
"M0013",58287,10668,1,10,14.8,0.363,9,20.8,5.8,24,3.9,594,37
"M0014",40202,-7417,0,9,9.4,0.302,9,22.4,8.7,27.1,4.2,454,49
"M0015",73649,26030,1,10,14.9,0.31,9,18,6.4,29.6,5,551,52
"M0016",27384,-20235,0,9,9.8,0.355,9,17.2,9.8,23.1,4.2,470,34
"M0017",39557,-8062,0,9,10.2,0.38,10,19.6,5,26.1,3.8,541,25
"M0018",67899,20280,1,10,16.2,0.323,9,17.8,6.6,24.6,5,590,52
"M0019",25158,-22461,0,9,11.2,0.336,9,18.3,7.5,22.8,4.7,405,42
"M0020",54006,6387,1,10,14.4,0.342,9,16.6,3,26.3,4,581,47
"M0021",26624,-20995,0,9,13.3,0.388,9,19.2,7.3,25.9,5,498,32
"M0022",34160,-13459,0,9,7,0.307,9,21.1,5.6,24.9,4.4,466,37
"M0023",55728,8109,1,10,15,0.326,9,11.6,8.3,22.5,5.4,573,35
"M0024",24082,-23537,0,9,7.3,0.332,9,18.1,8.3,21.4,4.4,410,22
"M0025",56900,9281,1,10,11.3,0.343,9,18.8,6.8,25.6,4.2,513,43
"M0026",67469,19850,1,10,16.5,0.284,10,19.6,4.8,24.1,5.3,668,50
"M0027",59617,11998,1,10,14.2,0.33,9,18.7,4.2,30.7,4.5,630,30
"M0028",38157,-9462,0,9,14.1,0.342,9,20.8,5.2,21.1,4.9,396,47
"M0029",64661,17042,1,10,17.8,0.372,9,19.5,6.9,23.6,4.9,628,52
